x,y
-2602.039,-8696.063
-2560.31,-4628.66
-4363.58,-6643.05
-2597.299,-11034.461
-4922.761,-10603.872
-4924.058,-10242.033
-5276.978,-10731.197
-3902.542,-11315.733
-5249.121,-10601.362
-5809.199,-5782.509
-6803.692,-8714.718
-4478.246,-10566.941
-3460.791,-11459.992
-5035.192,-11183.929
-3452.02,-11411.65
-3251.906494,-4817.450378
-413.785,-4408.237
-756.752,-4632.265
-2550.217,-5583.768
-4805.453,-8918.455
-2316.641,-5351.198
-2106.428,-5508.407
-4922.096,-9120.633
-2868.697,-5399.736
-2100.715,-3091.117
-1508.395,-2537.065
-1861.241,-3847.145
-1406.369,-4749.063
-2353.34,-2175.776
-4685.782,-11589.478
-2319.525,-4327.494
-2289.72,-4434.943
-2243.412,-4946.835
-2349.11,-4538.998
-1837.264,-6863.505
-2055.184,-6940.851
-5042.499,-8855.101
-3689.2,-11580.7
-4187.359,-11399.237
-2108.919,-5576.722
-4829.119,-10618.802
-1646.45,-8484.9
-2211.719,-1940.091
-2293.221,-4713.876
-2623.194,-4320.96
-2338.462,-6993.624
-4328.794,-7995.891
-5121.79,-10862.447
-1953.785,-5195.033
-2508.615,-4083.893
-3516.201,-5233.392
-2118.753,-5837.46
-3453.206,-9944.348
-2268.92,-11684.942
-1840.009,-10864.353
-2837.136,-10657.959
-1215.13,-3808.244
-3419.302,-7467.972
-3341.296,-7299.426
